OBJECTID,X,Y
799,314547.3125,2769308.75
800,314553.9688,2769312.25
801,314560.5937,2769312.25
802,314571.625,2769308.75
803,314581.5,2769300
804,314606.6563,2769265.5
805,314626.2812,2769244.5
806,314635.75,2769238
807,314643.6562,2769235.25
808,314657.8125,2769237.5
809,314667.5312,2769242.5
810,314679.4062,2769249
811,314691.9999,2769255.75
812,314703,2769256.75
813,314710.0625,2769255.25
814,314729.7187,2769245.75
815,314762.0625,2769221
816,314776.9063,2769210
817,314787.9062,2769205.5
818,314798.4999,2769204.5
819,314812.3438,2769205.5
820,314832.8437,2769211.25
821,314846.9688,2769217.75
822,314865.0625,2769222.5
823,314874.5312,2769222.5
824,314882.7188,2769219.5
825,314898.4063,2769216.75
826,314906.7187,2769215.5
827,314911.4063,2769216.75
828,314919.3125,2769224.25
829,314930.3124,2769249.25
830,314939.375,2769258
831,314944.875,2769260
832,314953.0625,2769260.25
833,314960.5626,2769257.25
834,314967.625,2769248.5
835,314975.5313,2769236.25
836,314980.625,2769224.5
837,314983.4376,2769220.5
838,314986.5626,2769219
839,315014.5313,2769203.5
840,315037.6875,2769193.75
841,315057.7501,2769190.75
842,315077.8125,2769188.75
843,315089.9687,2769188.5
844,315099.7187,2769190.25
845,315111.1563,2769195.75
846,315134.3437,2769209.25
847,315152.4062,2769220.5
848,315170.2187,2769232.25
849,315177.6875,2769235.5
850,315186.75,2769235.5
851,315197.3438,2769231.25
852,315210.3438,2769221.25
853,315220.9375,2769216.75
854,315231.5312,2769215
855,315237.0313,2769215.75
856,315241.6874,2769216.25
857,315246.5,2769216.75
858,315257.0937,2769213.5
859,315263.3126,2769209.5
860,315274.0625,2769191.5
861,315279.8437,2769183.25
862,315284.9376,2769183
863,315288.875,2769186
864,315306.9688,2769203
865,315318.4062,2769210
866,315332.1249,2769212.25
867,315346.8125,2769214.25
868,315393.5625,2769222.5
869,315422.6875,2769228.75
870,315442.3124,2769234.25
871,315453.75,2769240.25
872,315472.9062,2769253
873,315482.5938,2769259
874,315489.3124,2769264
875,315494.5,2769268.75
876,315499,2769276.5
877,315503.125,2769285.75
878,315510.5313,2769308.5
879,315515.75,2769321.25
880,315518.7812,2769325.75
881,315526.9375,2769332
882,315537.7188,2769340.5
883,315558.6563,2769353.75
884,315595.6876,2769371.75
885,315648.0313,2769404
886,315713.5938,2769436.25
887,315734.4376,2769450.5
888,315761.9375,2769470.5
889,315790.4063,2769487.5
890,315819.4688,2769502.75
891,315861.8437,2769519.5
892,315877.4062,2769523
893,315903.25,2769523.5
894,315915.8126,2769522.5
895,315949.5937,2769513.25
896,316000.5937,2769499.75
897,316030.4063,2769491.5
898,316050.1563,2769490.5
899,316077.625,2769494.5
900,316089.8749,2769491.5
901,316108.0937,2769483.75
902,316120.6876,2769473.5
903,316131.2813,2769465
904,316144.1876,2769459
905,316150.8125,2769459.25
906,316177.9688,2769466
907,316199.5,2769447.5
908,316214.375,2769437.25
909,316231.4376,2769429.5
910,316247.3437,2769424
911,316264.2187,2769421.25
912,316273.8438,2769421.25
913,316296.0313,2769430
914,316313.2499,2769442
915,316326.5,2769454
916,316346.6874,2769461.5
917,316358.5938,2769465.5
918,316365.75,2769466.5
919,316374.1563,2769461.75
920,316373.5,2769455.5
921,316363.9062,2769414.75
922,316350.3126,2769381.5
923,316332.4376,2769344.75
924,316320.9063,2769322.25
925,316312.3125,2769308.75
926,316298.4063,2769296.5
927,316282.1875,2769284.25
928,316272.9062,2769268.75
929,316267.2812,2769250.5
930,316263.5937,2769215
